name,sub_category_id,
iphone用ケース,92,
カバー,92,
イヤホンジャック,92,
ストラップ,92,
フィルム,92,
自撮り棒,92,
その他,92,
タブレット,93,
ノートPC,93,
デスクトップ型PC,93,
ディスプレイ,93,
電子ブックリーダー,93,
PC周辺機器,93,
PCパーツ,93,
その他,93,
デジタルカメラ,94,
ビデオカメラ,94,
レンズ(単焦点),94,
レンズ(ズーム),94,
フィルムカメラ,94,
防犯カメラ,94,
その他,94,
テレビ,95,
プロジェクター,95,
ブルーレイレコーダー,95,
DVDレコーダー,95,
ブルーレイプレーヤー,95,
DVDプレーヤー,95,
映像用ケーブル,95,
その他,95,
ポータブルプレーヤー,96,
イヤフォン,96,
ヘッドフォン,96,
アンプ,96,
スピーカー,96,
ケーブル/シールド,96,
ラジオ,96,
その他,96,
ヘアドライヤー,97,
ヘアアイロン,97,
美容機器,97,
電気シェーバー,97,
電動歯ブラシ,97,
その他,97,
エアコン,98,
空気清浄器,98,
加湿器,98,
扇風機,98,
除湿機,98,
ファンヒーター,98,
電気ヒーター,98,
オイルヒーター,98,
ストーブ,98,
ホットカーペット,98,
こたつ,98,
電気毛布,98,
その他,98,
冷蔵庫,99,
洗濯機,99,
炊飯器,99,
電子レンジ/オーブン,99,
調理機器,99,
アイロン,99,
掃除機,99,
エスプレッソマシン,99,
コーヒーメーカー,99,
衣類乾燥機,99,
その他,99,
その他,100,
クラブ,101,
ウエア(男性用),101,
ウエア(女性用),101,
バッグ,101,
シューズ(男性用),101,
シューズ(女性用),101,
アクセサリー,101,
その他,101,
ロッド,102,
リール,102,
ルアー用品,102,
ウエア,102,
釣り糸/ライン,102,
その他,102,
自転車本体,103,
ウエア,103,
パーツ,103,
アクセサリー,103,
バッグ,103,
工具/メンテナンス,103,
その他,103,
ランニング,104,
ウォーキング,104,
ヨガ,104,
トレーニング用品,104,
その他,104,
ウェア,105,
シューズ,105,
グローブ,105,
バット,105,
アクセサリー,105,
防具,105,
練習機器,105,
記念グッズ,105,
応援グッズ,105,
その他,105,
ウェア,106,
シューズ,106,
ボール,106,
アクセサリー,106,
記念グッズ,106,
応援グッズ,106,
その他,106,
ラケット(硬式用),107,
ラケット(軟式用),107,
ウェア,107,
シューズ,107,
ボール,107,
アクセサリー,107,
記念グッズ,107,
応援グッズ,107,
その他,107,
ボード,108,
バインディング,108,
ブーツ(男性用),108,
ブーツ(女性用),108,
ブーツ(子ども用),108,
ウエア/装備(男性用),108,
ウエア/装備(女性用),108,
ウエア/装備(子ども用),108,
アクセサリー,108,
バッグ,108,
その他,108,
板,109,
ブーツ(男性用),109,
ブーツ(女性用),109,
ブーツ(子ども用),109,
ビンディング,109,
ウエア(男性用),109,
ウエア(女性用),109,
ウエア(子ども用),109,
ストック,109,
その他,109,
ダンス/バレエ,110,
サーフィン,110,
バスケットボール,110,
バトミントン,110,
バレーボール,110,
スケートボード,110,
陸上競技,110,
ラグビー,110,
アメリカンフットボール,110,
ボクシング,110,
ボウリング,110,
その他,110,
テント/タープ,111,
ライト/ランタン,111,
寝袋/寝具,111,
テーブル/チェア,111,
ストーブ/コンロ,111,
調理器具,111,
食器,111,
登山用品,111,
その他,111,
旅行用品,112,
その他,112,
ピアス,113,
イヤリング,113,
ネックレス,113,
ブレスレット,113,
リング,113,
チャーム,113,
ヘアゴム,113,
アンクレット,113,
その他,113,
バッグ(女性用),114,
バッグ(男性用),114,
財布(女性用),114,
財布(男性用),114,
ファッション雑貨,114,
その他,114,
アクセサリー(男性用),115,
時計(女性用),115,
時計(男性用),115,
その他,115,
キッチン用品,116,
家具,116,
文房具,116,
アート/写真,116,
アロマ/キャンドル,116,
フラワー/ガーデン,116,
その他,116,
クラフト/布製品,117,
おもちゃ/人形,117,
その他,117,
ファッション雑貨,118,
スタイ/よだれかけ,118,
外出用品,118,
ネームタグ,118,
その他,118,
各種パーツ,119,
生地/糸,119,
型紙/パターン,119,
その他,119,
Ingress,120,
クリエイターズ宇宙兄弟,120,
男性アイドル,121,
女性アイドル,121,
韓流,121,
国内アーティスト,121,
海外アーティスト,121,
音楽フェス,121,
声優/アニメ,121,
その他,121,
サッカー,122,
野球,122,
テニス,122,
格闘技/プロレス,122,
相撲/武道,122,
ゴルフ,122,
バレーボール,122,
バスケットボール,122,
モータースポーツ,122,
ウィンタースポーツ,122,
その他,122,
ミュージカル,123,
演劇,123,
伝統芸能,123,
落語,123,
お笑い,123,
オペラ,123,
サーカス,123,
バレエ,123,
その他,123,
声優/アニメ,123,
キッズ/ファミリー,123,
トークショー/講演会,123,
その他,123,
邦画,124,
洋画,124,
その他,124,
遊園地/テーマパーク,125,
美術館/博物館,125,
スキー場,125,
ゴルフ場,125,
フィットネスクラブ,125,
プール,125,
ボウリング場,125,
水族館,125,
動物園,125,
その他,125,
ショッピング,126,
レストラン/食事券,126,
フード/ドリンク券,126,
宿泊券,126,
その他,126,
国内自動車本体,127,
外国自動車本体,127,
タイヤ/ホイールセット,128,
タイヤ,128,
ホイール,128,
その他,128,
サスペンション,129,
ブレーキ,129,
外装、エアロパーツ,129,
ライト,129,
